
COLOR_GrasSurface 
N044.49.19.323 E000.30.13.488
N044.49.06.705 E000.30.17.501
N044.49.04.804 E000.31.06.695
N044.49.00.578 E000.32.31.118
N044.49.37.663 E000.32.23.890
N044.50.02.269 E000.31.38.809
N044.49.54.520 E000.31.29.612
N044.49.50.221 E000.31.18.525
N044.49.39.982 E000.30.47.584
N044.49.37.841 E000.30.39.990
N044.49.37.703 E000.30.33.158
N044.49.39.022 E000.30.26.185
N044.49.40.699 E000.30.22.063
N044.49.41.612 E000.30.16.713
N044.49.40.117 E000.30.10.127
N044.49.38.164 E000.30.07.938
N044.49.36.684 E000.30.07.415

COLOR_HardSurface3 
N044.49.21.042 E000.30.36.004
N044.49.20.812 E000.30.40.379
N044.49.20.482 E000.30.40.441
N044.49.20.968 E000.30.47.134
N044.49.22.259 E000.30.47.007
N044.49.22.070 E000.30.44.430
N044.49.22.070 E000.30.44.287
N044.49.22.116 E000.30.44.231
N044.49.22.166 E000.30.44.202
N044.49.22.245 E000.30.44.206
N044.49.22.890 E000.30.44.261
N044.49.23.338 E000.30.36.227

COLOR_HardSurface3 
N044.49.22.199 E000.30.49.934
N044.49.22.228 E000.30.50.372
N044.49.22.210 E000.30.50.481
N044.49.22.173 E000.30.50.569
N044.49.21.722 E000.30.51.471
N044.49.21.278 E000.30.52.093
N044.49.20.952 E000.30.52.244
N044.49.19.499 E000.30.55.280
N044.49.20.158 E000.30.55.926
N044.49.19.917 E000.30.59.440
N044.49.20.050 E000.30.59.467
N044.49.19.852 E000.31.02.601
N044.49.19.912 E000.31.02.661
N044.49.20.020 E000.31.02.726
N044.49.20.116 E000.31.02.772
N044.49.20.282 E000.31.02.818
N044.49.21.887 E000.31.02.997
N044.49.22.590 E000.30.49.854

COLOR_HardSurface2 
N044.49.31.437 E000.30.22.962
N044.49.31.497 E000.30.22.669
N044.49.31.583 E000.30.22.419
N044.49.31.685 E000.30.22.179
N044.49.31.818 E000.30.21.949
N044.49.31.936 E000.30.21.789
N044.49.32.085 E000.30.21.646
N044.49.32.232 E000.30.21.520
N044.49.32.424 E000.30.21.376
N044.49.32.606 E000.30.21.176
N044.49.32.748 E000.30.20.985
N044.49.32.858 E000.30.20.758
N044.49.32.957 E000.30.20.491
N044.49.33.029 E000.30.20.178
N044.49.33.060 E000.30.19.882
N044.49.33.068 E000.30.19.595
N044.49.33.045 E000.30.19.293
N044.49.32.998 E000.30.19.021
N044.49.32.917 E000.30.18.774
N044.49.32.824 E000.30.18.547
N044.49.32.697 E000.30.18.310
N044.49.32.568 E000.30.18.131
N044.49.32.434 E000.30.17.983
N044.49.32.246 E000.30.17.841
N044.49.32.072 E000.30.17.732
N044.49.31.832 E000.30.17.659
N044.49.31.701 E000.30.17.635
N044.49.31.383 E000.30.23.592

COLOR_HardSurface2 
N044.49.26.454 E000.31.57.646
N044.49.26.621 E000.31.57.643
N044.49.26.838 E000.31.57.580
N044.49.27.046 E000.31.57.470
N044.49.27.246 E000.31.57.308
N044.49.27.446 E000.31.57.068
N044.49.27.620 E000.31.56.784
N044.49.27.756 E000.31.56.444
N044.49.27.851 E000.31.56.101
N044.49.27.886 E000.31.55.737
N044.49.27.900 E000.31.55.462
N044.49.27.987 E000.31.53.433
N044.49.27.990 E000.31.53.172
N044.49.27.949 E000.31.52.850
N044.49.27.875 E000.31.52.541
N044.49.27.773 E000.31.52.279
N044.49.27.612 E000.31.52.004
N044.49.27.445 E000.31.51.797
N044.49.27.281 E000.31.51.625
N044.49.27.110 E000.31.51.404
N044.49.26.969 E000.31.51.136
N044.49.26.842 E000.31.50.805
N044.49.26.731 E000.31.50.330
N044.49.26.741 E000.31.49.781
N044.49.26.314 E000.31.57.642

COLOR_HardSurface2 
N044.49.30.046 E000.30.22.221
N044.49.29.940 E000.30.22.639
N044.49.29.825 E000.30.22.895
N044.49.29.606 E000.30.23.161
N044.49.29.419 E000.30.23.288
N044.49.29.285 E000.30.23.340
N044.49.29.056 E000.30.23.346
N044.49.28.733 E000.30.23.316
N044.49.25.739 E000.30.22.987
N044.49.25.529 E000.30.22.971
N044.49.25.366 E000.30.23.000
N044.49.25.190 E000.30.23.060
N044.49.25.050 E000.30.23.150
N044.49.24.926 E000.30.23.282
N044.49.24.802 E000.30.23.443
N044.49.24.709 E000.30.23.645
N044.49.24.623 E000.30.23.923
N044.49.24.571 E000.30.24.291
N044.49.24.546 E000.30.24.648
N044.49.24.511 E000.30.25.162
N044.49.23.981 E000.30.35.225
N044.49.23.962 E000.30.35.540
N044.49.23.943 E000.30.35.756
N044.49.23.892 E000.30.35.935
N044.49.23.844 E000.30.36.060
N044.49.23.730 E000.30.36.152
N044.49.23.619 E000.30.36.207
N044.49.23.531 E000.30.36.235
N044.49.23.318 E000.30.36.220
N044.49.22.882 E000.30.44.264
N044.49.22.995 E000.30.44.278
N044.49.23.087 E000.30.44.300
N044.49.23.180 E000.30.44.342
N044.49.23.271 E000.30.44.406
N044.49.23.324 E000.30.44.485
N044.49.23.389 E000.30.44.620
N044.49.23.439 E000.30.44.783
N044.49.23.457 E000.30.44.923
N044.49.23.264 E000.30.48.395
N044.49.23.243 E000.30.48.547
N044.49.23.204 E000.30.48.655
N044.49.22.583 E000.30.49.840
N044.49.21.873 E000.31.03.014
N044.49.22.106 E000.31.03.050
N044.49.22.235 E000.31.03.062
N044.49.22.303 E000.31.03.083
N044.49.22.372 E000.31.03.129
N044.49.22.422 E000.31.03.238
N044.49.22.430 E000.31.03.382
N044.49.22.385 E000.31.04.597
N044.49.22.374 E000.31.04.942
N044.49.22.263 E000.31.06.949
N044.49.21.892 E000.31.13.806
N044.49.25.953 E000.31.14.236
N044.49.26.230 E000.31.14.282
N044.49.26.370 E000.31.14.320
N044.49.26.496 E000.31.14.363
N044.49.26.605 E000.31.14.412
N044.49.26.715 E000.31.14.505
N044.49.26.828 E000.31.14.625
N044.49.26.911 E000.31.14.730
N044.49.26.990 E000.31.14.892
N044.49.27.057 E000.31.15.034
N044.49.27.097 E000.31.15.187
N044.49.27.136 E000.31.15.367
N044.49.27.163 E000.31.15.565
N044.49.27.348 E000.31.12.110
N044.49.27.281 E000.31.12.343
N044.49.27.210 E000.31.12.531
N044.49.27.088 E000.31.12.760
N044.49.26.940 E000.31.12.956
N044.49.26.798 E000.31.13.045
N044.49.26.671 E000.31.13.119
N044.49.26.513 E000.31.13.147
N044.49.26.351 E000.31.13.143
N044.49.26.025 E000.31.13.108
N044.49.24.120 E000.31.12.919
N044.49.23.919 E000.31.12.887
N044.49.23.678 E000.31.12.835
N044.49.23.464 E000.31.12.783
N044.49.23.229 E000.31.12.714
N044.49.23.090 E000.31.12.646
N044.49.22.946 E000.31.12.526
N044.49.22.790 E000.31.12.340
N044.49.22.682 E000.31.12.155
N044.49.22.610 E000.31.11.962
N044.49.22.522 E000.31.11.650
N044.49.22.515 E000.31.11.604
N044.49.24.880 E000.30.27.466
N044.49.24.918 E000.30.26.707
N044.49.24.954 E000.30.26.203
N044.49.24.991 E000.30.25.766
N044.49.25.030 E000.30.25.415
N044.49.25.080 E000.30.25.120
N044.49.25.147 E000.30.24.899
N044.49.25.204 E000.30.24.760
N044.49.25.303 E000.30.24.607
N044.49.25.374 E000.30.24.504
N044.49.25.484 E000.30.24.394
